,ID,PERSONID,EMPLOYEEID,LASTNAME,FIRSTNAME,ACCESSDATE,LOCATION,CARDNUMBER
57,360,31409,NID31296,NID31296,NID31296,2021-08-21 14:28:48.337,18,81
58,361,31409,NID31296,NID31296,NID31296,2021-08-21 14:29:16.367,52,81
59,362,31409,NID31296,NID31296,NID31296,2021-08-21 14:29:46.800,88,81
60,363,31409,NID31296,NID31296,NID31296,2021-08-21 14:30:15.680,11,81
61,364,31409,NID31296,NID31296,NID31296,2021-08-21 14:30:50.467,36,81
62,365,31409,NID31296,NID31296,NID31296,2021-08-21 14:32:44.540,90,81
63,366,31409,NID31296,NID31296,NID31296,2021-08-21 14:34:12.987,23,81
64,367,31409,NID31296,NID31296,NID31296,2021-08-21 14:35:59.550,7,81
65,368,31409,NID31296,NID31296,NID31296,2021-08-21 14:36:33.687,78,81
66,371,31409,NID31296,NID31296,NID31296,2021-08-21 14:45:19.100,40,81
67,372,31634,NID31516,NID31516,NID31516,2021-08-21 14:45:23.507,22,300
68,373,31634,NID31516,NID31516,NID31516,2021-08-21 14:45:41.823,38,300
69,374,31634,NID31516,NID31516,NID31516,2021-08-21 14:45:59.143,89,300
70,375,31634,NID31516,NID31516,NID31516,2021-08-21 14:46:36.133,1,300
71,376,31634,NID31516,NID31516,NID31516,2021-08-21 14:46:51.350,60,300
72,378,31634,NID31516,NID31516,NID31516,2021-08-21 14:47:27.890,44,300
73,379,31634,NID31516,NID31516,NID31516,2021-08-21 14:47:56.370,70,300
74,380,31634,NID31516,NID31516,NID31516,2021-08-21 14:48:34.460,51,300
75,381,31634,NID31516,NID31516,NID31516,2021-08-21 14:48:49.177,66,300
76,382,31634,NID31516,NID31516,NID31516,2021-08-21 14:49:28.167,84,300
77,383,31634,NID31516,NID31516,NID31516,2021-08-21 14:49:43.787,30,300
78,385,31634,NID31516,NID31516,NID31516,2021-08-21 14:50:49.407,93,300
79,386,31634,NID31516,NID31516,NID31516,2021-08-21 14:52:19.453,95,300
80,387,31634,NID31516,NID31516,NID31516,2021-08-21 14:52:53.590,95,300
81,388,31634,NID31516,NID31516,NID31516,2021-08-21 14:53:05.353,33,300
82,389,31634,NID31516,NID31516,NID31516,2021-08-21 14:53:28.877,62,300
83,390,31634,NID31516,NID31516,NID31516,2021-08-21 14:53:45.297,8,300
84,391,31634,NID31516,NID31516,NID31516,2021-08-21 14:54:18.780,93,300
85,392,31634,NID31516,NID31516,NID31516,2021-08-21 14:54:31.793,15,300
86,393,31634,NID31516,NID31516,NID31516,2021-08-21 14:55:09.737,75,300
87,394,31634,NID31516,NID31516,NID31516,2021-08-21 14:55:24.400,37,300
88,395,31634,NID31516,NID31516,NID31516,2021-08-21 14:55:52.130,12,300
89,396,31634,NID31516,NID31516,NID31516,2021-08-21 14:56:07.997,95,300
90,397,31409,NID31296,NID31296,NID31296,2021-08-21 14:56:33.577,35,81
91,398,31634,NID31516,NID31516,NID31516,2021-08-21 14:56:50.293,12,300
92,399,31634,NID31516,NID31516,NID31516,2021-08-21 14:57:39.143,51,300
93,400,31634,NID31516,NID31516,NID31516,2021-08-21 14:58:00.517,40,300
94,401,31634,NID31516,NID31516,NID31516,2021-08-21 14:58:42.613,37,300
95,402,31634,NID31516,NID31516,NID31516,2021-08-21 14:59:31.817,61,300
96,403,31634,NID31516,NID31516,NID31516,2021-08-21 15:00:31.380,57,300
97,404,31634,NID31516,NID31516,NID31516,2021-08-21 15:01:03.913,52,300
98,405,31634,NID31516,NID31516,NID31516,2021-08-21 15:01:55.420,13,300
99,406,31634,NID31516,NID31516,NID31516,2021-08-21 15:02:42.470,33,300
100,407,31634,NID31516,NID31516,NID31516,2021-08-21 15:02:59.590,13,300
101,408,31634,NID31516,NID31516,NID31516,2021-08-21 15:03:35.927,84,300
102,409,31634,NID31516,NID31516,NID31516,2021-08-21 15:03:45.037,61,300
103,410,31409,NID31296,NID31296,NID31296,2021-08-21 15:05:52.173,9,81
104,413,31409,NID31296,NID31296,NID31296,2021-08-21 15:08:02.713,57,81
105,414,31409,NID31296,NID31296,NID31296,2021-08-21 15:09:22.047,29,81
106,415,31409,NID31296,NID31296,NID31296,2021-08-21 15:09:34.863,81,81
107,417,31409,NID31296,NID31296,NID31296,2021-08-21 15:10:13.553,17,81
108,418,31409,NID31296,NID31296,NID31296,2021-08-21 15:10:34.977,99,81
109,420,31409,NID31296,NID31296,NID31296,2021-08-21 15:11:17.173,93,81
110,421,31409,NID31296,NID31296,NID31296,2021-08-21 15:12:28.400,15,81
111,425,31409,NID31296,NID31296,NID31296,2021-08-21 15:12:57.483,32,81
112,430,31409,NID31296,NID31296,NID31296,2021-08-21 15:17:41.790,96,81
113,431,31409,NID31296,NID31296,NID31296,2021-08-21 15:17:45.093,59,81
114,432,31409,NID31296,NID31296,NID31296,2021-08-21 15:17:48.197,20,81
115,434,31409,NID31296,NID31296,NID31296,2021-08-21 15:18:35.647,71,81
116,437,31409,NID31296,NID31296,NID31296,2021-08-21 15:20:22.010,81,81
117,442,31409,NID31296,NID31296,NID31296,2021-08-21 15:31:32.130,83,81
118,443,31409,NID31296,NID31296,NID31296,2021-08-21 15:36:09.500,50,81
119,465,31409,NID31296,NID31296,NID31296,2021-08-21 15:45:43.137,42,81
120,466,31409,NID31296,NID31296,NID31296,2021-08-21 15:48:20.957,19,81
121,467,31634,NID31516,NID31516,NID31516,2021-08-21 15:48:31.770,36,300
122,469,31409,NID31296,NID31296,NID31296,2021-08-21 15:49:50.053,66,81
123,470,31409,NID31296,NID31296,NID31296,2021-08-21 15:50:28.543,30,81
124,471,31409,NID31296,NID31296,NID31296,2021-08-21 15:50:56.927,48,81
125,472,31409,NID31296,NID31296,NID31296,2021-08-21 15:51:32.763,68,81
126,473,31409,NID31296,NID31296,NID31296,2021-08-21 15:51:58.840,17,81
127,474,31409,NID31296,NID31296,NID31296,2021-08-21 15:52:25.770,91,81
128,476,31409,NID31296,NID31296,NID31296,2021-08-21 15:53:52.813,81,81
129,477,31409,NID31296,NID31296,NID31296,2021-08-21 15:54:29.103,33,81
130,478,31409,NID31296,NID31296,NID31296,2021-08-21 15:56:04.457,89,81
131,479,31409,NID31296,NID31296,NID31296,2021-08-21 15:57:14.180,66,81
132,480,31409,NID31296,NID31296,NID31296,2021-08-21 15:57:57.227,99,81
133,481,31409,NID31296,NID31296,NID31296,2021-08-21 16:00:29.790,55,81
134,482,31409,NID31296,NID31296,NID31296,2021-08-21 16:01:16.340,42,81
135,483,31409,NID31296,NID31296,NID31296,2021-08-21 16:01:58.387,75,81
136,484,31634,NID31516,NID31516,NID31516,2021-08-21 16:05:19.000,36,300
137,489,32042,NID31924,NID31924,NID31924,2021-08-22 13:23:54.427,81,712
138,490,31446,NID31333,NID31333,NID31333,2021-08-22 13:29:58.470,69,118
139,492,32042,NID31924,NID31924,NID31924,2021-08-22 15:34:06.527,9,712
140,496,32125,NID32007,NID32007,NID32007,2021-08-22 23:27:30.420,11,790
141,498,32277,NID32159,NID32159,NID32159,2021-08-23 04:03:16.823,65,936
142,499,32277,NID32159,NID32159,NID32159,2021-08-23 04:03:22.680,26,936
143,500,32277,NID32159,NID32159,NID32159,2021-08-23 04:04:02.723,73,936
144,501,32277,NID32159,NID32159,NID32159,2021-08-23 04:04:32.703,93,936
145,502,32277,NID32159,NID32159,NID32159,2021-08-23 04:04:58.083,27,936
146,504,32294,NID32176,NID32176,NID32176,2021-08-23 04:19:49.690,6,953
147,505,32294,NID32176,NID32176,NID32176,2021-08-23 04:20:06.557,30,953
148,506,32294,NID32176,NID32176,NID32176,2021-08-23 04:25:19.547,13,953
149,507,32329,NID32211,NID32211,NID32211,2021-08-23 04:45:58.177,31,988
150,509,31634,NID31516,NID31516,NID31516,2021-08-23 05:38:51.773,57,300
151,511,31634,NID31516,NID31516,NID31516,2021-08-23 05:44:54.467,79,300
152,512,31556,NID31438,NID31438,NID31438,2021-08-23 05:46:34.573,23,223
153,513,31556,NID31438,NID31438,NID31438,2021-08-23 05:47:36.990,81,223
154,516,31634,NID31516,NID31516,NID31516,2021-08-23 05:52:47.123,49,300
155,518,31634,NID31516,NID31516,NID31516,2021-08-23 05:54:31.883,42,300
156,521,31409,NID31296,NID31296,NID31296,2021-08-23 06:04:13.957,59,81
157,522,31409,NID31296,NID31296,NID31296,2021-08-23 06:04:37.433,35,81
158,523,31409,NID31296,NID31296,NID31296,2021-08-23 06:09:30.243,94,81
159,524,31409,NID31296,NID31296,NID31296,2021-08-23 06:09:43.460,43,81
160,525,31634,NID31516,NID31516,NID31516,2021-08-23 06:10:08.737,5,300
161,526,31409,NID31296,NID31296,NID31296,2021-08-23 06:10:09.887,40,81
162,529,31560,NID31442,NID31442,NID31442,2021-08-23 06:15:55.060,94,227
163,531,31697,NID31579,NID31579,NID31579,2021-08-23 06:24:23.653,90,363
164,532,32211,NID32093,NID32093,NID32093,2021-08-23 06:26:43.503,64,873
165,533,31409,NID31296,NID31296,NID31296,2021-08-23 06:31:20.450,33,81
166,534,31409,NID31296,NID31296,NID31296,2021-08-23 06:33:15.073,63,81
167,535,31560,NID31442,NID31442,NID31442,2021-08-23 06:35:06.490,24,227
168,536,32253,NID32135,NID32135,NID32135,2021-08-23 06:41:10.033,93,912
169,537,32253,NID32135,NID32135,NID32135,2021-08-23 06:41:45.470,24,912
170,538,31597,NID31479,NID31479,NID31479,2021-08-23 06:44:05.870,71,264
171,539,31409,NID31296,NID31296,NID31296,2021-08-23 06:44:37.657,5,81
172,540,31409,NID31296,NID31296,NID31296,2021-08-23 06:44:46.617,86,81
173,542,31409,NID31296,NID31296,NID31296,2021-08-23 06:46:22.670,86,81
174,543,31409,NID31296,NID31296,NID31296,2021-08-23 06:46:35.333,2,81
175,544,31910,NID31792,NID31792,NID31792,2021-08-23 06:50:36.090,20,580
176,545,32206,NID32088,NID32088,NID32088,2021-08-23 06:53:00.747,40,868
177,546,31877,NID31759,NID31759,NID31759,2021-08-23 06:53:11.157,8,542
178,548,31634,NID31516,NID31516,NID31516,2021-08-23 06:55:07.187,38,300
179,552,31409,NID31296,NID31296,NID31296,2021-08-23 06:58:06.630,78,81
180,553,31899,NID31781,NID31781,NID31781,2021-08-23 06:59:47.790,17,564
181,554,31409,NID31296,NID31296,NID31296,2021-08-23 07:00:16.820,3,81
182,555,31393,NID31280,NID31280,NID31280,2021-08-23 07:00:22.477,11,64
183,557,31912,NID31794,NID31794,NID31794,2021-08-23 07:02:52.840,38,582
184,559,32064,NID31946,NID31946,NID31946,2021-08-23 07:04:48.517,12,729
185,560,31411,NID31298,NID31298,NID31298,2021-08-23 07:05:13.793,30,83
186,562,32365,NID32247,NID32247,NID32247,2021-08-23 07:11:10.827,3,1024
187,566,32210,NID32092,NID32092,NID32092,2021-08-23 07:16:15.443,99,872
188,567,31896,NID31778,NID31778,NID31778,2021-08-23 07:16:36.467,47,561
189,574,31393,NID31280,NID31280,NID31280,2021-08-23 07:20:52.790,88,64
190,575,31474,NID31361,NID31361,NID31361,2021-08-23 07:20:59.797,96,146
191,576,31393,NID31280,NID31280,NID31280,2021-08-23 07:21:01.550,75,64
192,577,31393,NID31280,NID31280,NID31280,2021-08-23 07:21:09.610,31,64
193,578,31393,NID31280,NID31280,NID31280,2021-08-23 07:21:11.860,31,64
194,579,32192,NID32074,NID32074,NID32074,2021-08-23 07:21:24.473,59,856
195,580,31393,NID31280,NID31280,NID31280,2021-08-23 07:21:30.780,5,64
196,583,31393,NID31280,NID31280,NID31280,2021-08-23 07:22:44.360,65,64
197,584,31642,NID31524,NID31524,NID31524,2021-08-23 07:22:46.410,39,308
198,585,31642,NID31524,NID31524,NID31524,2021-08-23 07:22:49.917,43,308
199,587,31745,NID31627,NID31627,NID31627,2021-08-23 07:24:12.853,93,410
200,590,31476,NID31363,NID31363,NID31363,2021-08-23 07:34:36.780,18,148
201,591,31422,NID31309,NID31309,NID31309,2021-08-23 07:34:42.187,52,94
202,592,31882,NID31764,NID31764,NID31764,2021-08-23 07:35:39.397,90,547
203,593,31880,NID31762,NID31762,NID31762,2021-08-23 07:35:54.913,74,545
204,594,32095,NID31977,NID31977,NID31977,2021-08-23 07:36:01.870,95,760
205,598,32216,NID32098,NID32098,NID32098,2021-08-23 07:38:27.827,4,877
206,599,32216,NID32098,NID32098,NID32098,2021-08-23 07:38:31.230,55,877
207,601,31882,NID31764,NID31764,NID31764,2021-08-23 07:39:10.020,20,547
208,602,32204,NID32086,NID32086,NID32086,2021-08-23 07:39:16.477,83,866
209,604,31796,NID31678,NID31678,NID31678,2021-08-23 07:39:43.457,14,454
210,609,31882,NID31764,NID31764,NID31764,2021-08-23 07:42:30.887,38,547
211,615,31894,NID31776,NID31776,NID31776,2021-08-23 07:45:31.730,27,559
212,616,32099,NID31981,NID31981,NID31981,2021-08-23 07:45:36.483,70,764
213,619,31393,NID31280,NID31280,NID31280,2021-08-23 07:46:46.560,4,64
214,620,32144,NID32026,NID32026,NID32026,2021-08-23 07:48:11.200,80,809
215,621,31471,NID31384,NID31384,NID31384,2021-08-23 07:48:16.563,4,168
216,624,31925,NID31807,NID31807,NID31807,2021-08-23 07:49:57.163,47,595
217,625,31522,NID31377,NID31377,NID31377,2021-08-23 07:50:09.927,36,162
218,626,31634,NID31516,NID31516,NID31516,2021-08-23 07:51:43.077,33,300
219,628,31714,NID31596,NID31596,NID31596,2021-08-23 07:52:34.533,65,379
220,634,31717,NID31599,NID31599,NID31599,2021-08-23 07:54:11.837,76,382
221,637,31634,NID31516,NID31516,NID31516,2021-08-23 07:55:09.147,43,300
222,639,31657,NID31539,NID31539,NID31539,2021-08-23 07:55:35.377,9,323
223,641,31713,NID31595,NID31595,NID31595,2021-08-23 07:57:14.630,77,378
224,644,31852,NID31734,NID31734,NID31734,2021-08-23 08:00:29.740,10,517
225,646,32247,NID32129,NID32129,NID32129,2021-08-23 08:01:43.867,60,906
226,647,31831,NID31713,NID31713,NID31713,2021-08-23 08:02:39.727,43,496
227,648,31497,NID31405,NID31405,NID31405,2021-08-23 08:03:22.923,22,189
228,649,32399,NID32281,NID32281,NID32281,2021-08-23 08:04:47.617,83,1057
229,650,31711,NID31593,NID31593,NID31593,2021-08-23 08:04:52.870,91,376
230,654,31696,NID31578,NID31578,NID31578,2021-08-23 08:06:45.790,44,362
231,658,32207,NID32089,NID32089,NID32089,2021-08-23 08:07:18.777,40,869
232,659,31875,NID31757,NID31757,NID31757,2021-08-23 08:07:30.740,24,540
233,661,31642,NID31524,NID31524,NID31524,2021-08-23 08:08:17.690,22,308
234,662,32112,NID31994,NID31994,NID31994,2021-08-23 08:09:01.987,35,777
235,664,32131,NID32013,NID32013,NID32013,2021-08-23 08:09:32.820,27,796
236,665,31946,NID31828,NID31828,NID31828,2021-08-23 08:09:47.783,96,611
237,666,31870,NID31752,NID31752,NID31752,2021-08-23 08:09:57.243,51,535
238,672,31724,NID31606,NID31606,NID31606,2021-08-23 08:11:54.220,100,389
239,673,31897,NID31779,NID31779,NID31779,2021-08-23 08:11:56.170,33,562
240,674,32204,NID32086,NID32086,NID32086,2021-08-23 08:12:04.980,87,866
241,675,32210,NID32092,NID32092,NID32092,2021-08-23 08:12:07.783,66,872
242,680,32226,NID32108,NID32108,NID32108,2021-08-23 08:14:55.110,54,887
243,681,32368,NID32250,NID32250,NID32250,2021-08-23 08:15:05.870,80,1027
244,682,31472,NID31359,NID31359,NID31359,2021-08-23 08:15:42.210,37,144
245,684,32298,NID32180,NID32180,NID32180,2021-08-23 08:16:40.873,95,957
246,685,32184,NID32066,NID32066,NID32066,2021-08-23 08:16:49.333,35,848
247,686,31410,NID31297,NID31297,NID31297,2021-08-23 08:17:05.200,8,82
248,687,31409,NID31296,NID31296,NID31296,2021-08-23 08:17:33.880,91,81
249,688,32207,NID32089,NID32089,NID32089,2021-08-23 08:17:35.783,14,869
250,689,32251,NID32133,NID32133,NID32133,2021-08-23 08:17:36.933,5,910
251,692,31470,NID31357,NID31357,NID31357,2021-08-23 08:17:59.207,59,142
252,693,32073,NID31955,NID31955,NID31955,2021-08-23 08:18:34.293,55,738
253,694,31969,NID31851,NID31851,NID31851,2021-08-23 08:18:49.660,62,634
254,696,32245,NID32127,NID32127,NID32127,2021-08-23 08:20:27.717,23,904
255,697,32207,NID32089,NID32089,NID32089,2021-08-23 08:20:43.583,55,869
256,700,31724,NID31606,NID31606,NID31606,2021-08-23 08:21:46.150,24,389
257,703,31446,NID31333,NID31333,NID31333,2021-08-23 08:23:43.073,63,118
258,704,31749,NID31631,NID31631,NID31631,2021-08-23 08:24:18.713,13,414
259,705,32234,NID32116,NID32116,NID32116,2021-08-23 08:24:26.920,18,898
260,709,32369,NID32251,NID32251,NID32251,2021-08-23 08:25:58.720,19,1028
261,710,32002,NID31884,NID31884,NID31884,2021-08-23 08:27:48.237,52,667
262,711,32343,NID32225,NID32225,NID32225,2021-08-23 08:28:10.710,33,1002
263,713,31599,NID31481,NID31481,NID31481,2021-08-23 08:28:53.657,89,266
264,716,31770,NID31652,NID31652,NID31652,2021-08-23 08:29:38.703,21,435
265,717,32150,NID32032,NID32032,NID32032,2021-08-23 08:30:00.227,89,815
266,719,32253,NID32135,NID32135,NID32135,2021-08-23 08:30:51.433,4,912
267,720,31676,NID31558,NID31558,NID31558,2021-08-23 08:31:08.300,46,342
268,721,31724,NID31606,NID31606,NID31606,2021-08-23 08:31:27.270,45,389
269,722,31827,NID31709,NID31709,NID31709,2021-08-23 08:31:49.393,73,492
270,723,32127,NID32009,NID32009,NID32009,2021-08-23 08:32:14.673,89,792
271,725,32378,NID32260,NID32260,NID32260,2021-08-23 08:32:25.883,75,1037
272,731,31409,NID31296,NID31296,NID31296,2021-08-23 08:34:27.263,5,81
273,733,32124,NID32006,NID32006,NID32006,2021-08-23 08:34:45.530,66,789
274,734,32211,NID32093,NID32093,NID32093,2021-08-23 08:34:47.333,34,873
275,735,31700,NID31582,NID31582,NID31582,2021-08-23 08:35:16.313,3,365
276,737,32110,NID31992,NID31992,NID31992,2021-08-23 08:35:39.640,34,775
277,739,32189,NID32071,NID32071,NID32071,2021-08-23 08:35:50.250,89,853
278,741,31883,NID31765,NID31765,NID31765,2021-08-23 08:36:23.737,53,548
279,742,31883,NID31765,NID31765,NID31765,2021-08-23 08:37:11.637,54,548
280,743,31736,NID31618,NID31618,NID31618,2021-08-23 08:38:05.147,71,401
281,747,31739,NID31621,NID31621,NID31621,2021-08-23 08:39:52.310,90,404
282,748,31695,NID31577,NID31577,NID31577,2021-08-23 08:41:13.797,51,361
283,749,31643,NID31525,NID31525,NID31525,2021-08-23 08:41:25.610,48,309
284,750,31530,NID31412,NID31412,NID31412,2021-08-23 08:42:12.660,62,197
285,751,32358,NID32240,NID32240,NID32240,2021-08-23 08:42:21.720,8,1017
286,752,32174,NID32056,NID32056,NID32056,2021-08-23 08:42:46.197,11,838
287,753,32070,NID31952,NID31952,NID31952,2021-08-23 08:43:36.850,21,735
288,754,32385,NID32267,NID32267,NID32267,2021-08-23 08:43:38.000,2,1043
289,756,32147,NID32029,NID32029,NID32029,2021-08-23 08:44:11.587,71,812
290,757,32397,NID32279,NID32279,NID32279,2021-08-23 08:44:30.207,83,1055
291,758,32117,NID31999,NID31999,NID31999,2021-08-23 08:44:31.057,3,782
292,759,31813,NID31695,NID31695,NID31695,2021-08-23 08:45:01.090,3,478
293,760,32359,NID32241,NID32241,NID32241,2021-08-23 08:45:10.350,84,1018
294,761,32409,NID32291,NID32291,NID32291,2021-08-23 08:45:41.433,6,1067
295,762,32402,NID32284,NID32284,NID32284,2021-08-23 08:45:42.337,82,1060
296,764,31871,NID31753,NID31753,NID31753,2021-08-23 08:45:58.253,97,536
297,765,31651,NID31533,NID31533,NID31533,2021-08-23 08:46:03.357,11,317
298,767,31455,NID31342,NID31342,NID31342,2021-08-23 08:46:10.717,95,127
299,768,32361,NID32243,NID32243,NID32243,2021-08-23 08:46:17.073,87,1020
300,770,32135,NID32017,NID32017,NID32017,2021-08-23 08:46:34.490,14,800
301,772,31682,NID31564,NID31564,NID31564,2021-08-23 08:47:36.157,37,348
302,782,31741,NID31623,NID31623,NID31623,2021-08-23 08:51:11.687,11,406
303,786,32145,NID32027,NID32027,NID32027,2021-08-23 08:52:31.923,15,810
304,788,31422,NID31309,NID31309,NID31309,2021-08-23 08:53:58.967,90,94
305,789,32245,NID32127,NID32127,NID32127,2021-08-23 08:54:05.273,68,904
306,793,31976,NID31858,NID31858,NID31858,2021-08-23 08:55:16.700,69,641
307,794,32099,NID31981,NID31981,NID31981,2021-08-23 08:56:21.620,68,764
308,797,31879,NID31761,NID31761,NID31761,2021-08-23 08:57:18.580,30,544
309,800,32134,NID32016,NID32016,NID32016,2021-08-23 08:57:51.767,65,799
310,801,31691,NID31573,NID31573,NID31573,2021-08-23 08:58:03.780,89,357
311,805,32064,NID31946,NID31946,NID31946,2021-08-23 08:58:40.867,81,729
312,808,31516,NID31371,NID31371,NID31371,2021-08-23 09:00:03.357,82,156
313,811,31711,NID31593,NID31593,NID31593,2021-08-23 09:00:50.907,34,376
314,815,31968,NID31850,NID31850,NID31850,2021-08-23 09:01:22.843,15,633
315,816,32173,NID32055,NID32055,NID32055,2021-08-23 09:01:37.557,73,837
316,817,32237,NID32119,NID32119,NID32119,2021-08-23 09:01:41.913,76,901
317,818,31642,NID31524,NID31524,NID31524,2021-08-23 09:02:01.383,84,308
318,819,32245,NID32127,NID32127,NID32127,2021-08-23 09:02:55.190,54,904
319,821,32151,NID32033,NID32033,NID32033,2021-08-23 09:03:55.407,99,816
320,823,31924,NID31806,NID31806,NID31806,2021-08-23 09:04:27.640,9,594
321,824,31459,NID31346,NID31346,NID31346,2021-08-23 09:04:57.773,76,131
322,825,31926,NID31808,NID31808,NID31808,2021-08-23 09:04:58.023,14,596
323,826,31778,NID31660,NID31660,NID31660,2021-08-23 09:05:26.803,26,443
324,827,32345,NID32227,NID32227,NID32227,2021-08-23 09:05:26.857,4,1004
325,831,32147,NID32029,NID32029,NID32029,2021-08-23 09:06:49.790,25,812
326,835,32106,NID31988,NID31988,NID31988,2021-08-23 09:08:00.263,98,771
327,843,31642,NID31524,NID31524,NID31524,2021-08-23 09:11:25.033,35,308
328,844,31779,NID31661,NID31661,NID31661,2021-08-23 09:13:06.540,66,444
329,846,31916,NID31798,NID31798,NID31798,2021-08-23 09:13:48.387,4,586
330,852,31528,NID31410,NID31410,NID31410,2021-08-23 09:18:11.217,9,195
331,853,31703,NID31585,NID31585,NID31585,2021-08-23 09:18:18.323,89,368
332,857,31889,NID31771,NID31771,NID31771,2021-08-23 09:18:44.250,11,554
333,859,32292,NID32174,NID32174,NID32174,2021-08-23 09:19:27.147,77,951
334,862,31900,NID31782,NID31782,NID31782,2021-08-23 09:20:59.247,12,565
335,866,31899,NID31781,NID31781,NID31781,2021-08-23 09:22:09.320,56,564
336,870,31409,NID31296,NID31296,NID31296,2021-08-23 09:25:00.603,49,81
337,874,32193,NID32075,NID32075,NID32075,2021-08-23 09:28:16.563,46,857
